nodes;category
Fisheries_Recreational;activity
Fisheries_Demersal;activity
Dredging;activity
Fisheries_Pelagic;activity
Phyto;ecosyst
Demersal_Fish_Small;ecosyst
Pelagic_Fish_Small;ecosyst
Seabirds;ecosyst
Seals;ecosyst
Zooplankton;ecosyst
Litter;pressure
Temperature;ecosyst
Extraction_Pelagic_Species;pressure
Runoff;pressure
CO2_Emissions;pressure
Noise;pressure
Employment;objective
Tourism;objective
Recovery_LargeFish;objective
Seafood_Value;objective
Nutrients;ecosyst
MPAs;management
Eelgrass;ecosyst
Habitat_recovery;objective
Water_quality;objective
Food_Supply;objective
Regional_growth;objective
GES;objective
Biodiversity;objective
Renewable_Energy;objective
Shipping;activity
C_installations;activity
Recreational_boating;activity
Renew_Energy_installations;activity
Aquaculture;activity
Military;activity
Land_Use;activity
Abrasion;pressure
Smothering;pressure
Placement_Hard_Structures;pressure
Coastal_recreation;activity
Pollution;pressure
Alien_Species;pressure
Pelagic_Fish_Large;ecosyst
Demersal_Fish_Large;ecosyst
Crustaceans;ecosyst
Porpoise;ecosyst
Flatfish;ecosyst
Macro_algea;ecosyst
Cephalopods;ecosyst
Benthos;ecosyst
Fishing_mortality;management
Gear_regulations;management
Effort_regulations;management
Coast_Habitat_Restore;management
Restocking;management
Seal_Culling;management
Commercial_Value_Other;objective
Oxygen;ecosyst
Filamentous_algea;ecosyst
Demersal_Extraction;pressure
Reduced_CO2;objective
Recreational_extraction;pressure
